Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,Returns,Days_Index,Trendline
2023-08-04,3291.8061794082446,3359.3117967588437,3291.8061794082446,3332.7451171875,2248493,3289.2158325195314,3281.172970687927,45.27014984044203,3434.557759646884,3143.873905392179,0.01282363089239813,127,3344.120486705187
2023-08-07,3342.8105859551206,3375.7649904149553,3330.519287060053,3371.942138671875,1853889,3299.890234375,3289.8176533530645,49.584219632345466,3435.8518886498514,3163.928580100149,0.01176118188043529,128,3347.14014596927
2023-08-08,3371.9422149162706,3377.6522734682326,3345.3755330785716,3358.925048828125,1634225,3309.89208984375,3296.399310064975,51.096844099744175,3430.7740977300023,3189.0100819574977,-0.003860413170932109,129,3350.159805233353
2023-08-09,3353.408128734616,3355.440650524594,3314.8405433859634,3351.08544921875,1794589,3320.1052856445312,3301.607513793906,49.909291282757906,3414.615528185661,3225.5950431034016,-0.002333960864089546,130,3353.179464497436
2023-08-10,3338.9877445254015,3353.408205777693,3319.6797322161924,3331.342041015625,1096701,3325.438671875,3304.439373529308,60.06547973747553,3408.635556745156,3242.2417870048444,-0.005891645707729709,131,3356.199123761519
2023-08-11,3327.4707621169023,3355.101906546515,3304.146144439249,3337.826416015625,1679974,3322.69326171875,3307.619091861338,57.791562210677824,3399.9517397007608,3245.434783736739,0.001946475300393713,132,3359.2187830256016
2023-08-14,3329.986811695672,3343.8267206328173,3301.2425308476236,3338.842529296875,1190425,3321.106335449219,3310.592752569484,57.379892781082475,3395.4729032399923,3246.7397676584455,0.0003044236441938075,133,3362.238442289685
2023-08-16,3338.987573140182,3354.472732899673,3324.663753105696,3347.1171875,1328445,3319.6845581054686,3314.0712701819143,60.27254559985686,3390.679087881059,3248.6900283298783,0.002478301426472873,134,3365.2581015537676
2023-08-17,3343.826872942134,3349.440290926464,3303.37184354654,3325.1962890625,1843241,3318.4602661132812,3315.1307957895892,55.4679938676837,3388.1084157956197,3248.8121164309428,-0.006549187617142516,135,3368.2777608178503
2023-08-18,3300.27486357317,3300.27486357317,3248.4963576490745,3258.75537109375,2526749,3313.805029296875,3309.761707723319,51.52981222438081,3386.4357580059323,3241.174300587818,-0.01998105140057227,136,3371.2974200819335
2023-08-21,3266.4009838975485,3300.0328162502715,3263.4975163563063,3292.193359375,1375579,3315.4188598632813,3308.088531690146,47.17864146906757,3384.3480172636346,3246.489702462928,0.010260969134981979,137,3374.3170793460163
2023-08-22,3290.5965270622437,3301.242574649798,3256.771177666018,3273.32080078125,1222012,3314.809118652344,3304.777319222632,39.714482973653155,3385.0552183019736,3244.563019002714,-0.005732518273875886,138,3377.3367386100995
2023-08-23,3278.9826513416833,3292.5321664298717,3267.368781266093,3288.90283203125,1330046,3314.7655517578123,3303.265463299643,43.84613469511489,3385.078076685345,3244.4530268302797,0.004760312904949826,139,3380.356397874182
2023-08-24,3298.339128569847,3303.226679523777,3269.4013299076382,3278.74072265625,1152881,3314.7389282226563,3300.929773714558,48.0591423049511,3385.1084186942703,3244.3694377510424,-0.0030898174540242573,140,3383.3760571382654
2023-08-25,3266.4009619630024,3276.853492298242,3242.447354908607,3272.498291015625,1158046,3313.984020996094,3298.222013457517,38.76960884702028,3385.8867600895915,3242.0812819025964,-0.0019039113393412022,141,3386.395716402348
2023-08-28,3284.7896278189037,3284.7896278189037,3251.9805389553726,3266.933349609375,1037485,3314.959094238281,3295.2421407100746,27.61952632794889,3383.5126951771404,3246.405493299422,-0.0017005177425235551,142,3389.415375666431
2023-08-29,3272.256632643452,3280.483124702364,3256.7230327340726,3267.51416015625,944517,3312.766979980469,3292.6013806573296,29.42705271220545,3384.5341728230283,3240.9997871379096,0.0001777846330854871,143,3392.435034930514
2023-08-30,3288.6608423400667,3298.435944066353,3274.1919432777236,3281.837646484375,1188200,3309.8102783203126,3291.5762631170483,34.85703180974164,3381.557340231454,3238.063216409171,0.004383603444717776,144,3395.454694194597
